, 14 days,SMA12,EMA12,TBR24,VOL29,MOM10,,SMA26,EMA26,TBR12,VOL87,,Change,Gain,Loss,AV GAIN,AV LOSS,RS(INPUT 10),RSI,,,,SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
369.13,1,358.05,355.1656932,-0.066958192,0.023487074,18.76,,355.8676923,370.1844675,-0.057740906,0.043361788,,1.1,1.1,0,0.607,2.483,0.244462344,19.64401294,,,,1,0,0,0,1,1,1
370.23,1,360.4408333,355.9772532,-0.064177746,0.022034652,17.11,,356.3980769,370.2335025,-0.054932993,0.043413831,,1.11,1.11,0,0.662,2.373,0.278971766,21.8121911,,,,1,0,0,0,1,1,1
371.34,1,362.0041667,356.9044706,-0.076819809,0.020146763,16,,356.9073077,371.4251152,-0.061372024,0.04344204,,3.31,3.31,0,0.662,2.262,0.292661362,22.64021888,,,,1,0,0,0,1,1,1
374.65,1,363.8433333,357.971988,-0.068590891,0.017936247,20.97,,357.7773077,374.8980681,-0.053005409,0.043453651,,5.52,5.52,0,0.662,2.759,0.239942008,19.35106694,,,,1,0,0,0,1,1,1
380.17,1,365.9583333,359.2006565,-0.058728862,0.016137547,10.48,,358.8173077,380.5755332,-0.039052626,0.043506702,,6.07,6.07,0,1.159,2.207,0.525147259,34.4325609,,,,1,0,0,0,1,1,1
386.24,0,368.0275,360.5586324,-0.043700017,0.015968377,0,,360.1969231,386.6757282,-0.02370962,0.043533924,,2.75,2.75,0,1.6,1.6,1,50,,,,1,0,0,0,0,1,0
388.99,0,370.3725,362.0684582,-0.036891233,0.01628822,0.56,,361.8519231,389.1680209,-0.016758506,0.043402827,,2.76,2.76,0,1.6,1.656,0.966183575,49.14004914,,,,1,0,0,0,1,1,0
391.75,0,372.855,363.7279262,-0.030057689,0.017538767,-6.07,,363.3584615,391.9486138,-0.009782114,0.043244092,,-0.55,0,0.55,1.987,1.38,1.439855072,59.01395901,,,,1,0,0,0,0,1,0
391.2,0,375.2916667,365.5069632,-0.031419446,0.019828364,-2.21,,364.5257692,391.1424143,-0.011172337,0.042902305,,-5.52,0,5.52,1.932,1.711,1.129164231,53.03321438,,,,1,0,0,0,0,1,0
385.68,1,377.5441667,367.3588406,-0.045086533,0.022572651,0,,365.4807692,385.2598143,-0.02512512,0.042556016,,2.21,2.21,0,1.711,1.711,1,50,,,,1,0,0,0,0,1,1
387.89,1,380.0733333,369.3149164,-0.039614747,0.023671623,-1.1,,366.5842308,388.092322,-0.019538952,0.042459614,,-0.55,0,0.55,1.711,1.601,1.068707058,51.66062802,,,,1,0,0,0,0,1,1
387.34,1,382.0508333,371.2742883,-0.040976504,0.025133503,-0.55,,367.7938462,387.2821291,-0.020929174,0.042340615,,0,0,0,1.656,1.601,1.034353529,50.84433528,,,,1,0,0,0,0,1,1
